"auto_id","unit","id","DATACLASS","CORTEX","TECHNIQUE","ALTER","EDGEDAMAGE","TYPE","FBSECOND","FBTHIRD","PLATSURF","PLATEXT","FORM","SCARMORPH","RETEDGES","RETINTENSE","REPRISE","LENGTH","WIDTH","MAXWIDTH","THICKNESS","PLATWIDTH","PLATTHICK","MATERIAL","EXTSURFACE","EXTTYPE","WEIGHT","PLATTECH","PLATANG","MULTIPLE","EPA","SHAPE","SUPPORT","SURFPCT","PROXREMOVS","PREPPLATS","FLAKDIRECT","SCARLENGTH","SCARWIDTH"
1,"A1",1,"COMPFLAKE","1-10%","NORMAL","ROLLED/PATINA","EXT/INT",48,NA,NA,"STRT FACET","NONE","NORMAL","N/A","2","N/A","NONE",32.77,27.77,29.27,6.1,13.77,5.63,"LOCAL CAMPANIEN","0-10%","CORTEX",8,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"A1",2,"DISTFLAKE","0%","NORMAL","UNALTERED","INTERIOR",NA,NA,NA,NA,NA,"NORMAL","N/A",NA,NA,NA,0,0,0,0,0,0,"LACUSTRE/CHALCEDONY","0-10%","N/A",10,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"A1",3,"COMPTOOL","90-99%","NORMAL","LIGHTPATINA","NONE",43,"48",NA,"LRG PLAIN","RET S / TALON","NORMAL","PLAIN","2","N/A","NONE",33.85,39.14,49.88,11.45,49.72,15.62,"LOCAL CAMPANIEN","90-100%","CORTEX",27,NA,0,"YES",NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"A1",4,"COMPFLAKE","40-60%","NORMAL","HEAVY PATINA","EXTERIOR",48,NA,NA,"LRG PLAIN","TRIM","ECLAT LAME","N/A","N/A","N/A","NONE",55.88,19.22,21.99,7.64,7.18,3.51,"LOCAL CAMPANIEN","40-60%","CORTEX",7,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"A1",5,"MED TOOL","1-10%","NORMAL","ROLLED/PATINA","EXTERIOR",26,NA,NA,NA,NA,"NORMAL","N/A","2","NORMAL","NONE",0,0,0,0,0,0,"LOCAL CAMPANIEN","0-10%","CORTEX",40,NA,0,"YES",NA,NA,NA,NA,NA,NA,NA,NA,NA
6,"A1",6,"COMPFLAKE","10-40%","NORMAL","HEAVY PATINA","NONE",NA,NA,NA,"LRG PLAIN","NONE","ANGULAR","N/A",NA,NA,NA,70.84,39.58,41.56,27.43,22.93,16.21,"LOCAL CAMPANIEN","10-40%","CORTEX",108,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
7,"A1",7,"COMPFLAKE","0%","LEVAL","HEAVY PATINA","EXT/INT",3,NA,NA,"CNVX FACET","SCAR","NORMAL","SUB-RAD","0","N/A","NONE",42.45,33.48,38.62,7.16,33.57,3.31,"LOCAL CAMPANIEN","0-10%","N/A",12,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
8,"A1",8,"COMPFLAKE","10-40%","NORMAL","HEAVY PATINA","INTERIOR",38,NA,NA,"LRG PLAIN","NONE","ANGULAR","BI-","1","N/A","NONE",50.23,28.77,37.17,16.2,16.06,5.92,"LOCAL CAMPANIEN","10-40%","FLINT",40,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
9,"A1",9,"COMPFLAKE","10-40%","NORMAL","HEAVY PATINA","EXTERIOR",NA,NA,NA,"STRT FACET","NONE","ANGULAR","N/A","N/A","N/A","NONE",37.05,16.48,17.51,10.59,17.36,10.33,"LOCAL CAMPANIEN","10-40%","CORTEX",7,"NORMAL",0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
10,"A1",10,"SHATTER","10-40%",NA,"LIGHTPATINA","N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,"LOCAL CAMPANIEN","10-40%","CORTEX",20,NA,0,"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
