"auto_id","coarse_stone_weight","coarse_fauna_weight","fine_stone_weight","fine_fauna_weight"
2140,-1,-1,6,2
2141,30,0,8,2
2142,47,0,6,1
2143,44,0,6,0
2144,32,0,16,2
2145,42,2,6,2
12194,10,0,2,0
2146,18,0,6,1
2147,44,0,12,2
2148,-1,-1,5,1
2149,45,0,14,6
11410,48,0,4,3
11722,5,0,1,1
2150,38,0,12,2
2151,36,0,12,2
11462,29,1,8,4
2152,20,0,8,1
2153,30,1,4,2
11337,32,0,13,3
2154,24,2,4,2
2155,42,1,16,4
2156,21,1,6,2
2157,38,0,5,2
2158,26,0,3,1
2159,38,2,10,2
2160,14,0,3,1
2161,46,1,4,1
2162,46,0,6,1
11590,44,0,7,2
2163,54,1,6,1
2164,7,1,3,0
2165,18,2,2,1
2166,72,0,11,1
2167,32,0,10,1
2168,29,2,6,2
2169,33,1,3,1
2170,78,0,6,0
2171,22,2,7,1
2172,56,0,15,3
2173,34,2,9,2
2174,57,0,3,1
11439,18,2,4,1
2175,23,0,6,1
2034,54,0,4,2
2035,52,0,8,0
2036,46,0,6,0
2037,23,0,5,1
2038,38,18,6,3
11746,36,0,1,1
11661,4,1,2,1
2039,38,0,2,1
2040,66,0,10,1
2041,22,2,4,1
2042,34,0,16,2
2043,10,2,6,1
12185,9,0,2,1
2044,32,2,12,2
2045,-1,-1,2,2
11626,22,2,8,1
2046,2,0,8,2
2047,54,0,12,4
2048,44,0,7,1
2049,44,2,9,1
2050,66,0,-1,-1
11663,14,0,4,1
2051,54,2,38,1
11461,32,0,13,6
2052,112,4,14,4
2053,48,4,2,1
11391,18,0,4,2
11587,26,0,7,2
2054,40,0,1,1
2055,70,0,12,2
11610,40,2,5,1
2056,20,0,2,1
2057,77,0,8,0
2058,24,30,9,1
2059,43,0,6,1
2060,16,0,9,1
2061,44,0,4,1
2062,30,1,4,1
2063,54,0,1,1
11687,12,1,2,1
2064,32,6,2,1
2065,102,0,18,2
2066,50,2,8,2
11412,50,0,9,5
2067,18,0,8,2
2068,20,0,4,1
2069,19,0,1,1
2070,45,0,8,2
2071,34,2,4,2
2072,72,2,10,1
2073,14,0,2,2
2074,34,2,4,1
2075,66,2,11,1
2076,8,2,2,1
2077,10,0,8,2
2078,53,12,3,1
2079,41,0,2,2
2080,60,0,6,2
2081,70,0,11,5
2082,25,0,8,1
2083,36,0,11,1
2084,74,0,12,4
2085,94,0,16,6
2086,48,0,5,4
2087,49,0,4,2
2088,29,0,1,1
2089,50,1,10,2
2090,34,0,12,4
11905,4,10,1,0
2091,44,0,8,2
2092,35,0,6,1
2093,18,0,5,1
2094,34,0,6,1
2095,56,1,8,2
2096,66,0,10,2
2097,23,0,14,1
2098,59,0,4,0
2099,45,0,9,1
2100,32,2,8,1
2101,24,1,4,2
2102,53,0,6,0
2103,22,2,-1,-1
2104,94,1,8,2
11525,64,0,10,6
2105,18,1,5,1
