"unit","n","geoms"
"A1",5,"1015,1001.5,0,1015,1003.5,0,1016.5,1003.5,0,1016.5,1001.5,0,1015,1001.5,0"
"A2",5,"1012.5,1002,0,1012.5,1006,0,1015,1006,0,1015,1002,0,1012.5,1002,0"
"AMI",13,"1019.256,999.771,0,1018.763,999.773,0,1018.74,999.853,-1.06,1015.845,999.893,-1.005,1015.88,1000.234,-0.997,1017.164,1000.248,-1.046,1017.2,1000.64,-1.004,1017.982,1000.624,-0.997,1017.999,1000.234,-1.046,1018.745,1000.206,-1.063,1018.77,1000.276,0,1019.262,1000.253,0,1019.256,999.771,0"
"AP1",2,"1028.483,1079.198,33.609,1029.589,1079.104,33.308"
"C1",5,"1018,1026,13.2,1018,1028,13.2,1020,1028,13.2,1020,1026,13.2,1018,1026,13.2"
"CLIF1",14,"1009.257,1079.659,34.873,1012.08,1079.984,35.12,1014.898,1080.635,35.54,1017.019,1081.46,36.486,1018.908,1082.392,36.35,1020.961,1083.095,37.133,1023.962,1083.717,37.931,1027.514,1084.88,38.143,1028.62,1084.472,36.753,1030.563,1084.935,35.66,1032.759,1085.305,35.749,1034.832,1086.146,36.146,1037.137,1086.4,36.792,1038.856,1086.635,37.329"
"D1",5,"1017.5,1031,16,1017.5,1034,16,1018.5,1034,16,1018.5,1031,16,1017.5,1031,16"
"DEB1",15,"1030.299,1084.819,35.695,1030.559,1082.685,35.199,1029.793,1081.06,34.453,1028.382,1078.864,33.651,1025.468,1077.734,33.945,1024.085,1074.689,32.609,1022.415,1075.175,32.666,1020.397,1074.823,32.587,1019.252,1073.081,32,1017.295,1073.082,32.056,1015.562,1074.596,32.704,1014.419,1076.123,33.373,1013.565,1077.532,34.013,1013.644,1078.804,34.625,1014.564,1080.522,35.576"
"DT1",1,"1019,1000,0"
"DT2",1,"1026.589,1002.256,0.237"
"DT3",1,"1033.309,1014.203,6.15"
"DT4",1,"1016.216,1008.548,1.283"
"DTAP",1,"1034.103,1085.89,36.195"
"E1",5,"1036.5,1017,6.5,1036.5,1019,6.5,1038,1019,6.5,1038,1017,6.5,1036.5,1017,6.5"
"HEART",7,"1017.565,1000.515,-1.5,1017.47,1000.605,-1.5,1017.38,1000.512,-1.5,1017.533,1000.377,-1.5,1017.641,1000.477,-1.5,1017.613,1000.601,-1.5,1017.565,1000.515,-1.5"
"I1012",5,"1008,1011,0,1009,1011,0,1009,1012,0,1008,1012,0,1008,1011,0"
"I1013",5,"1008,1012,0,1009,1012,0,1009,1013,0,1008,1013,0,1008,1012,0"
"I1014",5,"1008,1013,0,1009,1013,0,1009,1014,0,1008,1014,0,1008,1013,0"
"I1015",5,"1008,1014,0,1009,1014,0,1009,1015,0,1008,1015,0,1008,1014,0"
"II",13,"1008,1015,0,1015,1015,0,1015,1013,0,1012,1013,0,1012,1012,0,1011,1012,0,1011,1011,0,1010,1011,0,1010,1013,0,1009,1013,0,1009,1011,0,1008,1011,0,1008,1015,0"
"J1014",5,"1009,1013,0,1010,1013,0,1010,1014,0,1009,1014,0,1009,1013,0"
"J1015",5,"1009,1014,0,1010,1014,0,1010,1015,0,1009,1015,0,1009,1014,0"
"K1012",5,"1010,1011,0,1011,1011,0,1011,1012,0,1010,1012,0,1010,1011,0"
"K1013",5,"1010,1012,0,1011,1012,0,1011,1013,0,1010,1013,0,1010,1012,0"
"K1014",5,"1010,1013,0,1011,1013,0,1011,1014,0,1010,1014,0,1010,1013,0"
"K1015",5,"1010,1014,0,1011,1014,0,1011,1015,0,1010,1015,0,1010,1014,0"
"L1013",5,"1011,1012,0,1012,1012,0,1012,1013,0,1011,1013,0,1011,1012,0"
"L1014",5,"1011,1013,0,1012,1013,0,1012,1014,0,1011,1014,0,1011,1013,0"
"L1015",5,"1011,1014,0,1012,1014,0,1012,1015,0,1011,1015,0,1011,1014,0"
"M1014",5,"1012,1013,0,1013,1013,0,1013,1014,0,1012,1014,0,1012,1013,0"
"M1015",5,"1012,1014,0,1013,1014,0,1013,1015,0,1012,1015,0,1012,1014,0"
"MLS1",1,"1054.112,1031.415,12.365"
"MLS2",1,"1028.879,1044.174,19.602"
"MLS3",1,"1029.478,1049.482,22.051"
"MLS4",1,"1030.154,1053.134,23.682"
"N1014",5,"1013,1013,0,1014,1013,0,1014,1014,0,1013,1014,0,1013,1013,0"
"N1015",5,"1013,1014,0,1014,1014,0,1014,1015,0,1013,1015,0,1013,1014,0"
"NORTH",2,"1026.602,1002.261,100,1034.539,1003.241,100"
"O1014",5,"1014,1013,0,1015,1013,0,1015,1014,0,1014,1014,0,1014,1013,0"
"O1015",5,"1014,1014,0,1015,1014,0,1015,1015,0,1014,1015,0,1014,1014,0"
"RL2",21,"1029.997,1042.405,18.696,1029.974,1042.018,18.57,1029.978,1041.551,18.352,1029.97,1041.271,18.17,1029.936,1040.849,17.974,1029.913,1040.48,17.831,1029.931,1039.986,17.783,1029.964,1039.439,17.687,1029.941,1038.967,17.69,1029.885,1038.374,17.519,1029.882,1037.756,17.2,1029.719,1037.198,16.974,1029.773,1036.717,16.613,1029.6,1036.322,16.497,1029.599,1035.855,16.308,1029.589,1035.529,16.13,1029.363,1035.039,15.446,1029.481,1034.025,14.695,1029.41,1033.523,14.483,1029.341,1033.171,14.287,1029.334,1032.496,13.957"
