"auto_ids","n","geoms"
7121,1,"1010.926,1012.51,1.399"
1,1,"1015.025,1002.976,-1.308"
2,2,"1015.076,1002.746,-1.415,1015.121,1002.783,-1.429"
3,2,"1015.05,1002.979,-1.411,1015.079,1002.954,-1.451"
4,2,"1015.052,1002.895,-1.432,1015.073,1002.852,-1.438"
5,2,"1015.153,1002.552,-1.463,1015.206,1002.539,-1.474"
6,2,"1015.102,1003.442,-1.358,1015.154,1003.37,-1.421"
7,1,"1015.058,1002.854,-1.435"
8,2,"1015.252,1002.746,-1.513,1015.25,1002.67,-1.506"
9,1,"1015.085,1002.538,-1.443"
10,1,"1015.067,1002.357,-1.523"
11,1,"1015.06,1002.301,-1.532"
12,2,"1015.095,1002.463,-1.496,1015.077,1002.382,-1.521"
13,1,"1015.322,1002.354,-1.564"
14,1,"1015.174,1002.228,-1.626"
15,1,"1015.073,1002.145,-1.609"
16,2,"1015.074,1001.825,-1.673,1015.091,1001.774,-1.703"
17,1,"1015.16,1001.739,-1.738"
18,4,"1015.06,1003.219,-1.452,1015.12,1003.188,-1.474,1015.064,1003.168,-1.458,1015.06,1003.219,-1.452"
19,1,"1015.17,1003.126,-1.507"
20,1,"1015.069,1002.775,-1.417"
21,2,"1015.127,1003.487,-1.404,1015.127,1003.444,-1.422"
22,2,"1015.15,1003.404,-1.48,1015.152,1003.368,-1.497"
23,1,"1015.069,1003.122,-1.499"
24,1,"1015.103,1002.935,-1.535"
25,1,"1015.081,1003.156,-1.554"
26,1,"1015.034,1003.108,-1.528"
27,1,"1015.076,1003,-1.52"
28,1,"1015.23,1002.855,-1.57"
29,1,"1015.204,1002.789,-1.562"
30,1,"1015.155,1002.598,-1.573"
31,1,"1015.096,1002.36,-1.572"
32,1,"1015.33,1002.365,-1.595"
33,1,"1015.226,1002.696,-1.59"
34,2,"1015.088,1002.781,-1.498,1015.01,1002.81,-1.5"
35,1,"1015.081,1002.862,-1.579"
36,1,"1015.284,1002.616,-1.617"
37,2,"1015.275,1002.597,-1.62,1015.289,1002.554,-1.611"
38,2,"1015.072,1002.429,-1.57,1015.111,1002.404,-1.594"
39,2,"1015.072,1002.378,-1.593,1015.085,1002.313,-1.581"
40,2,"1015.103,1002.84,-1.587,1015.065,1002.819,-1.576"
41,2,"1015.076,1002.541,-1.584,1015.113,1002.529,-1.611"
42,2,"1015.07,1002.475,-1.598,1015.07,1002.412,-1.584"
43,1,"1014.999,1003.452,-1.306"
44,2,"1015.233,1002.79,-1.623,1015.275,1002.793,-1.609"
45,2,"1015.127,1002.678,-1.617,1015.185,1002.668,-1.616"
46,1,"1015.172,1002.525,-1.613"
47,4,"1015.13,1002.7,-1.63,1015.103,1002.64,-1.634,1015.155,1002.651,-1.63,1015.13,1002.7,-1.63"
48,5,"1015.016,1002.886,-1.589,1015.01,1002.834,-1.595,1015.063,1002.79,-1.595,1015.072,1002.828,-1.604,1015.016,1002.886,-1.589"
49,1,"1015.162,1002.717,-1.663"
50,1,"1015.184,1001.868,-1.709"
51,1,"1015.392,1001.937,-1.686"
52,1,"1015.038,1003.195,-1.614"
53,1,"1015.166,1002.127,-1.604"
54,2,"1015.082,1002.388,-1.654,1015.125,1002.358,-1.656"
55,4,"1015.21,1002.066,-1.691,1015.158,1002.099,-1.684,1015.159,1002.039,-1.69,1015.21,1002.066,-1.691"
56,2,"1015.113,1002.032,-1.693,1015.131,1002.085,-1.685"
57,2,"1015.091,1002.212,-1.644,1015.103,1002.283,-1.627"
58,2,"1015.087,1002.439,-1.642,1015.07,1002.489,-1.655"
59,2,"1015.406,1002.173,-1.675,1015.379,1002.131,-1.683"
60,1,"1015.148,1001.802,-1.722"
61,1,"1015.088,1002.138,-1.653"
62,1,"1015.396,1001.899,-1.719"
63,2,"1015.151,1002.972,-1.67,1015.153,1002.927,-1.654"
64,2,"1015.279,1002.969,-1.696,1015.295,1002.924,-1.684"
65,2,"1015.438,1001.9,-1.713,1015.459,1001.858,-1.717"
66,1,"1015.285,1003.154,-1.674"
67,2,"1015.284,1002.874,-1.731,1015.325,1002.852,-1.726"
68,2,"1015.28,1002.705,-1.737,1015.324,1002.695,-1.731"
69,1,"1015.254,1002.471,-1.718"
70,2,"1015.232,1002.255,-1.725,1015.218,1002.196,-1.717"
71,2,"1015.392,1002.909,-1.752,1015.331,1002.865,-1.74"
72,1,"1015.154,1002.615,-1.726"
73,4,"1015.425,1002.034,-1.722,1015.398,1001.998,-1.73,1015.431,1001.981,-1.738,1015.425,1002.034,-1.722"
74,2,"1015.462,1001.846,-1.742,1015.443,1001.782,-1.745"
75,1,"1015.157,1001.775,-1.762"
76,1,"1015.158,1002.854,-1.743"
77,2,"1015.33,1002.809,-1.759,1015.301,1002.774,-1.765"
78,1,"1015.121,1002.585,-1.748"
79,1,"1015.292,1002.172,-1.763"
80,2,"1015.372,1001.99,-1.747,1015.376,1001.936,-1.749"
81,2,"1015.462,1002.041,-1.745,1015.445,1001.99,-1.741"
82,2,"1015.462,1001.829,-1.755,1015.436,1001.773,-1.768"
83,1,"1015.289,1001.544,-1.792"
84,1,"1015.213,1001.582,-1.781"
85,2,"1015.326,1001.807,-1.771,1015.317,1001.771,-1.756"
86,2,"1015.181,1001.834,-1.804,1015.189,1001.747,-1.809"
87,1,"1015.501,1001.697,-1.818"
88,2,"1015.302,1001.775,-1.842,1015.237,1001.79,-1.839"
89,1,"1015.085,1001.612,-1.8"
90,2,"1015.271,1001.523,-1.848,1015.325,1001.519,-1.843"
91,4,"1015.145,1001.705,-1.836,1015.204,1001.721,-1.835,1015.205,1001.681,-1.841,1015.145,1001.705,-1.836"
92,4,"1015.434,1002.033,-1.78,1015.413,1002.087,-1.796,1015.361,1002.069,-1.766,1015.434,1002.033,-1.78"
93,1,"1015.208,1002.037,-1.783"
94,1,"1015.081,1002.868,-1.778"
95,4,"1015.162,1002.254,-1.782,1015.223,1002.231,-1.774,1015.216,1002.294,-1.777,1015.162,1002.254,-1.782"
96,4,"1015.337,1002.811,-1.794,1015.332,1002.752,-1.775,1015.382,1002.766,-1.782,1015.337,1002.811,-1.794"
97,2,"1015.101,1002.735,-1.798,1015.106,1002.682,-1.785"
98,4,"1015.173,1002.511,-1.788,1015.232,1002.485,-1.788,1015.248,1002.519,-1.786,1015.173,1002.511,-1.788"
99,1,"1015.09,1002.954,-1.782"
100,2,"1015.373,1003.163,-1.815,1015.343,1003.117,-1.808"
101,2,"1015.406,1002.92,-1.821,1015.387,1002.887,-1.821"
102,2,"1015.362,1002.928,-1.829,1015.355,1002.874,-1.817"
103,2,"1015.116,1002.442,-1.802,1015.137,1002.377,-1.792"
104,2,"1015.265,1002.265,-1.797,1015.225,1002.249,-1.807"
105,2,"1015.227,1002.264,-1.808,1015.168,1002.261,-1.801"
106,2,"1015.213,1002.261,-1.81,1015.183,1002.243,-1.805"
107,2,"1015.215,1002.226,-1.814,1015.223,1002.167,-1.812"
108,4,"1015.246,1002.358,-1.818,1015.175,1002.389,-1.819,1015.219,1002.398,-1.853,1015.246,1002.358,-1.818"
109,2,"1015.198,1002.403,-1.833,1015.166,1002.438,-1.828"
110,4,"1015.057,1003.024,-1.822,1015.109,1002.996,-1.835,1015.092,1003.076,-1.826,1015.057,1003.024,-1.822"
111,1,"1015.266,1003.008,-1.835"
112,1,"1015.317,1003.109,-1.851"
113,2,"1015.246,1002.015,-1.811,1015.276,1002.022,-1.809"
114,2,"1015.458,1001.99,-1.829,1015.462,1002.029,-1.83"
115,2,"1015.075,1002.239,-1.807,1015.125,1002.243,-1.819"
116,1,"1015.183,1002.476,-1.835"
117,1,"1015.646,1002.972,-1.816"
118,2,"1014.823,1002.809,-1.774,1014.834,1002.773,-1.802"
119,2,"1015.377,1002.999,-1.853,1015.359,1002.956,-1.856"
120,1,"1015.389,1002.584,-1.852"
121,2,"1015.22,1002.491,-1.832,1015.226,1002.445,-1.845"
122,4,"1015.29,1002.292,-1.779,1015.307,1002.229,-1.84,1015.351,1002.314,-1.846,1015.29,1002.292,-1.779"
123,2,"1015.115,1002.216,-1.814,1015.109,1002.275,-1.803"
124,2,"1015.335,1002.2,-1.851,1015.37,1002.155,-1.856"
125,2,"1015.22,1003.096,-1.843,1015.275,1003.077,-1.856"
126,2,"1015.335,1002.963,-1.872,1015.301,1002.93,-1.871"
127,2,"1015.165,1003.094,-1.853,1015.2,1003.051,-1.859"
128,1,"1015.159,1002.394,-1.888"
129,2,"1015.127,1002.329,-1.847,1015.114,1002.268,-1.85"
130,2,"1015.205,1002.299,-1.873,1015.247,1002.328,-1.873"
131,2,"1015.336,1002.296,-1.853,1015.377,1002.256,-1.867"
132,1,"1015.195,1001.874,-1.883"
133,4,"1015.271,1001.941,-1.904,1015.342,1001.935,-1.907,1015.311,1001.967,-1.895,1015.271,1001.941,-1.904"
134,1,"1015.22,1003.044,-1.887"
135,1,"1015.317,1003.214,-1.814"
136,1,"1015.109,1003.043,-1.866"
137,4,"1015.104,1002.92,-1.878,1015.128,1002.846,-1.876,1015.066,1002.85,-1.853,1015.104,1002.92,-1.878"
138,2,"1015.3,1002.428,-1.871,1015.313,1002.372,-1.872"
139,2,"1015.389,1002.141,-1.882,1015.341,1002.104,-1.876"
140,2,"1015.399,1002.702,-1.875,1015.394,1002.654,-1.872"
141,1,"1015.331,1002.377,-1.88"
142,2,"1015.2,1002.301,-1.888,1015.15,1002.29,-1.866"
143,2,"1015.276,1003.258,-1.841,1015.236,1003.217,-1.809"
144,1,"1015.268,1001.916,-1.906"
145,2,"1015.109,1003.139,-1.877,1015.172,1003.109,-1.897"
146,2,"1015.238,1003.07,-1.908,1015.277,1003.114,-1.896"
147,1,"1015.25,1002.97,-1.915"
148,2,"1015.429,1002.825,-1.904,1015.463,1002.754,-1.897"
149,2,"1015.185,1002.888,-1.912,1015.165,1002.828,-1.914"
150,2,"1015.08,1002.665,-1.898,1015.085,1002.613,-1.896"
151,1,"1015.157,1002.617,-1.903"
152,4,"1015.43,1002.548,-1.902,1015.415,1002.465,-1.902,1015.482,1002.5,-1.894,1015.43,1002.548,-1.902"
153,2,"1015.56,1002.216,-1.871,1015.507,1002.199,-1.883"
154,2,"1015.411,1002.245,-1.891,1015.362,1002.262,-1.896"
155,2,"1015.297,1002.372,-1.91,1015.248,1002.367,-1.918"
156,2,"1015.197,1002.331,-1.921,1015.164,1002.274,-1.921"
157,2,"1015.313,1002.149,-1.884,1015.318,1002.098,-1.897"
158,2,"1015.231,1001.941,-1.919,1015.223,1001.878,-1.911"
159,1,"1015.409,1001.638,-1.925"
160,2,"1015.314,1001.557,-1.903,1015.306,1001.505,-1.884"
161,2,"1015.266,1001.541,-1.889,1015.232,1001.509,-1.893"
162,1,"1014.987,1003.185,-1.768"
163,1,"1015.111,1003.05,-1.91"
164,1,"1015.161,1002.882,-1.935"
165,4,"1015.121,1002.953,-1.898,1015.084,1002.919,-1.912,1015.098,1003.03,-1.931,1015.121,1002.953,-1.898"
166,2,"1015.091,1003.006,-1.908,1015.04,1002.981,-1.901"
167,2,"1015.452,1002.284,-1.908,1015.418,1002.344,-1.911"
168,1,"1015.228,1002.731,-1.927"
169,2,"1015.205,1002.836,-1.926,1015.232,1002.896,-1.924"
170,1,"1015.219,1003.061,-1.923"
171,2,"1015.101,1003.347,-1.888,1015.144,1003.211,-1.918"
172,1,"1015.472,1002.256,-1.917"
173,2,"1015.444,1002.128,-1.926,1015.386,1002.2,-1.921"
174,1,"1015.346,1002.215,-1.924"
175,2,"1015.11,1002.274,-1.913,1015.112,1002.324,-1.916"
176,1,"1015.289,1002.993,-1.947"
177,1,"1015.419,1002.846,-1.952"
178,1,"1015.259,1002.719,-1.936"
179,2,"1015.301,1002.683,-1.942,1015.315,1002.65,-1.935"
180,1,"1015.119,1003.164,-1.939"
181,1,"1015.3,1003.151,-1.945"
182,2,"1015.408,1002.785,-1.957,1015.43,1002.711,-1.952"
183,2,"1015.079,1002.958,-1.952,1015.143,1002.933,-1.96"
184,2,"1015.247,1002.812,-1.971,1015.323,1002.769,-1.961"
185,2,"1015.484,1002.6,-1.92,1015.531,1002.545,-1.935"
186,2,"1015.526,1002.207,-1.91,1015.572,1002.176,-1.906"
187,2,"1015.547,1002.198,-1.914,1015.585,1002.164,-1.921"
188,2,"1015.211,1003.118,-1.975,1015.25,1003.085,-1.968"
189,2,"1015.188,1002.971,-1.978,1015.144,1002.942,-1.971"
190,4,"1015.12,1002.287,-1.94,1015.106,1002.219,-1.937,1015.155,1002.243,-1.943,1015.12,1002.287,-1.94"
191,2,"1015.461,1002.045,-1.918,1015.431,1002.004,-1.922"
192,1,"1015.331,1001.588,-1.942"
193,1,"1015.225,1001.792,-1.935"
194,1,"1015.26,1001.805,-1.942"
195,2,"1015.302,1001.853,-1.942,1015.365,1001.876,-1.937"
